Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
Flavobacterium lotistagni,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium lotistagni
Hornefia butyriciproducens,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Hornefia,Hornefia butyriciproducens
Agrobacterium arsenijevicii,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium arsenijevicii
Aquimixticola soesokkakensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Aquimixticola,Aquimixticola soesokkakensis
Porphyromonas bobii,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas bobii
Streptomyces resistomycificus,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces resistomycificus
Streptomyces pacificus,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces pacificus
Anaerospora hongkongensis,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Anaerospora,Anaerospora hongkongensis
Caldalkalibacillus salinus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Caldalkalibacillus,Caldalkalibacillus salinus
Paenarthrobacter aromaticivorans,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Paenarthrobacter,Paenarthrobacter aromaticivorans
Pumilibacter muris,Bacteria,Bacillota,Clostridia,Eubacteriales,Pumilibacteraceae,Pumilibacter,Pumilibacter muris
Lactobacillus rizhaonensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus rizhaonensis
Novosphingobium hassiacum,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium hassiacum
Pseudomonas oryzagri,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas oryzagri
Elongatibacter sediminis,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Wenzhouxiangellaceae,Elongatibacter,Elongatibacter sediminis
Coprobacter tertius,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,Coprobacter tertius
Halomonas fontilapidosi,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas fontilapidosi
Pedobacter ginsenosidimutans,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter ginsenosidimutans
Roseibium algae,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Roseibium,Roseibium algae
Ruania rhizosphaerae,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Ruaniaceae,Ruania,Ruania rhizosphaerae
Planctomicrobium piriforme,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomicrobium,Planctomicrobium piriforme
Dyella tabacisoli,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Dyella,Dyella tabacisoli
Urinicoccus timonensis,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Urinicoccus,Urinicoccus timonensis
Mongoliibacter ruber,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Mongoliibacter,Mongoliibacter ruber
Paracnuella aquatica,Bacteria,Bacteroidota,Chitinophagia,Chitinophagales,Chitinophagaceae,Paracnuella,Paracnuella aquatica
Solimonas soli,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Solimonas,Solimonas soli
Actinomycetospora soli,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,Actinomycetospora soli
Phaeodactylibacter xiamenensis,Bacteria,Bacteroidota,Saprospiria,Saprospirales,Haliscomenobacteraceae,Phaeodactylibacter,Phaeodactylibacter xiamenensis
Nocardiopsis flavescens,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Nocardiopsidaceae,Nocardiopsis,Nocardiopsis flavescens
Enterococcus xiangfangensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus xiangfangensis
Natronogracilivirga saccharolytica,Bacteria,Balneolota,Balneolia,Balneolales,Cyclonatronaceae,Natronogracilivirga,Natronogracilivirga saccharolytica
Glycomyces rhizosphaerae,Bacteria,Actinomycetota,Actinomycetes,Glycomycetales,Glycomycetaceae,Glycomyces,Glycomyces rhizosphaerae
Leeuwenhoekiella nanhaiensis,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,Leeuwenhoekiella nanhaiensis
Ghiorsea bivora,Bacteria,Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundales_f,Ghiorsea,Ghiorsea bivora
Micromonospora antibiotica,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora antibiotica
Thalassovita mediterranea,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Thalassovita,Thalassovita mediterranea
Nocardioides imazamoxiresistens,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides imazamoxiresistens
Alishewanella tabrizica,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alishewanella,Alishewanella tabrizica
Paenibacillus polysaccharolyticus,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus polysaccharolyticus
Paenibacillus septentrionalis,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus septentrionalis
Paenibacillus phyllosphaerae,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus phyllosphaerae
Paenibacillus periandrae,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus periandrae
Anaerobacillus alkalilacustris,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Anaerobacillus,Anaerobacillus alkalilacustris
Anaerocaecibacter muris,Bacteria,Bacillota,Clostridia,Eubacteriales,Pumilibacteraceae,Anaerocaecibacter,Anaerocaecibacter muris
Mesorhizobium comanense,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium comanense
Andreprevotia chitinilytica,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Chitinibacteraceae,Andreprevotia,Andreprevotia chitinilytica
Caldimonas mangrovi,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Caldimonas,Caldimonas mangrovi
Alkaliphilus transvaalensis,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Natronincolaceae,Alkaliphilus,Alkaliphilus transvaalensis
Micromonospora avicenniae,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora avicenniae
Pseudomonas reidholzensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas reidholzensis
Winogradskyella undariae,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella undariae
Paraburkholderia antibiotica,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia antibiotica
Martelella mangrovi,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Martelella,Martelella mangrovi
Sinomonas notoginsengisoli,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Sinomonas,Sinomonas notoginsengisoli
Enterococcus spodopteracolus,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus spodopteracolus
Paraburkholderia nemoris,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia nemoris
Janthinobacterium psychrotolerans,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium psychrotolerans
Streptacidiphilus fuscans,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus fuscans
Azomonas agilis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azomonas,Azomonas agilis
Flavobacterium franklandianum,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium franklandianum
Boudabousia marimammalium,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Boudabousia,Boudabousia marimammalium
Clostridium paridis,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium paridis
Roseburia yibonii,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia yibonii
Catellatospora tritici,Bacteria,Actinomycetota,Actinomycetes,Micromonosporales,Micromonosporaceae,Catellatospora,Catellatospora tritici
Hanstruepera neustonica,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Hanstruepera,Hanstruepera neustonica
Thermosipho japonicus,Bacteria,Thermotogota,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho,Thermosipho japonicus
Xanthomonas protegens,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas protegens
Tsuneonella rigui,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Tsuneonella,Tsuneonella rigui
Sinimarinibacterium flocculans,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Sinimarinibacterium,Sinimarinibacterium flocculans
Lunatibacter salilacus,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Lunatibacter,Lunatibacter salilacus
Hydrocarboniphaga daqingensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Hydrocarboniphaga,Hydrocarboniphaga daqingensis
Flintibacter faecis,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriales_f,Flintibacter,Flintibacter faecis
Dyella psychrodurans,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Dyella,Dyella psychrodurans
Pseudophaeobacter profundi,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Pseudophaeobacter,Pseudophaeobacter profundi
Agathobaculum hominis,Bacteria,Bacillota,Clostridia,Eubacteriales,Butyricicoccaceae,Agathobaculum,Agathobaculum hominis
Sphaerisporangium album,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Sphaerisporangium,Sphaerisporangium album
Geomonas diazotrophica,Bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geomonas,Geomonas diazotrophica
Streptacidiphilus jiangxiensis,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptacidiphilus,Streptacidiphilus jiangxiensis
Spirillospora albida,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Thermomonosporaceae,Spirillospora,Spirillospora albida
Tindallia magadiensis,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Tindalliaceae,Tindallia,Tindallia magadiensis
Brucella grignonensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella grignonensis
Jeotgalicoccus meleagridis,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Jeotgalicoccus,Jeotgalicoccus meleagridis
Halobellus clavatus,Bacteria,Methanobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halobellus,Halobellus clavatus
Rahnella bonaserana,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rahnella,Rahnella bonaserana
Methylobacillus rhizosphaerae,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylobacillus,Methylobacillus rhizosphaerae
Wohlfahrtiimonas populi,Bacteria,Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Ignatzschineriaceae,Wohlfahrtiimonas,Wohlfahrtiimonas populi
Aeromicrobium phragmitis,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Aeromicrobium phragmitis
Kineosporia mesophila,Bacteria,Actinomycetota,Actinomycetes,Kineosporiales,Kineosporiaceae,Kineosporia,Kineosporia mesophila
Membranihabitans maritimus,Bacteria,Bacteroidota,Saprospiria,Saprospirales,Saprospiraceae,Membranihabitans,Membranihabitans maritimus
Microvirga guangxiensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Microvirga,Microvirga guangxiensis
Winogradskyella alexanderae,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,Winogradskyella alexanderae
Flavobacterium suzhouense,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium suzhouense
Paenibacillus pini,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus pini
Fontibacillus phaseoli,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Fontibacillus,Fontibacillus phaseoli
Veillonella hominis,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella hominis
Streptomyces niveoruber,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces niveoruber
Pseudotamlana agarivorans,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Pseudotamlana,Pseudotamlana agarivorans
Aromatoleum tolulyticum,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Aromatoleum,Aromatoleum tolulyticum
Gluconacetobacter takamatsuzukensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter takamatsuzukensis
Hymenobacter piscis,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,Hymenobacter piscis
Antarcticimicrobium sediminis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Antarcticimicrobium,Antarcticimicrobium sediminis
Streptomyces yokosukanensis,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces yokosukanensis
Marinobacter caseinilyticus,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter caseinilyticus
Knoellia sinensis,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Intrasporangiaceae,Knoellia,Knoellia sinensis
Streptomyces phaeofaciens,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces phaeofaciens
Undibacterium luofuense,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,Undibacterium luofuense
Pseudothauera lacus,Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Pseudothauera,Pseudothauera lacus
Natranaeroarchaeum aerophilus,Bacteria,Methanobacteriota,Halobacteria,Halobacteriales,Natronoarchaeaceae,Natranaeroarchaeum,Natranaeroarchaeum aerophilus
Tautonia marina,Bacteria,Planctomycetota,Planctomycetia,Isosphaerales,Isosphaeraceae,Tautonia,Tautonia marina
Virgibacillus profundi,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Virgibacillus,Virgibacillus profundi
Runella defluvii,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Spirosomataceae,Runella,Runella defluvii
Falsibacillus pallidus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Falsibacillus,Falsibacillus pallidus
Actinopolyspora xinjiangensis,Bacteria,Actinomycetota,Actinomycetes,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,Actinopolyspora xinjiangensis
Flavobacterium jejuense,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium jejuense
Flavobacterium cellulosilyticum,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium cellulosilyticum
Methylobacterium nonmethylotrophicum,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium nonmethylotrophicum
Savagea serpentis,Bacteria,Bacillota,Bacilli,Bacillales,Caryophanaceae,Savagea,Savagea serpentis
Granulicatella seriolae,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella seriolae
Bradyrhizobium shewense,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium shewense
Capnocytophaga bilenii,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga bilenii
Novosphingobium umbonatum,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium umbonatum
Dysgonomonas massiliensis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas massiliensis
Gluconacetobacter aggeris,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconacetobacter,Gluconacetobacter aggeris
Paracoccus lichenicola,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Paracoccus,Paracoccus lichenicola
Tritonibacter litoralis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Tritonibacter,Tritonibacter litoralis
Microvirga makkahensis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Microvirga,Microvirga makkahensis
Brevundimonas aurifodinae,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas aurifodinae
Chelativorans alearense,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Chelativorans,Chelativorans alearense
Qipengyuania algicida,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Qipengyuania,Qipengyuania algicida
Alpinimonas psychrophila,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Alpinimonas,Alpinimonas psychrophila
Legionella gresilensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella gresilensis
Aureimonas frigidaquae,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Aureimonas,Aureimonas frigidaquae
Alkalisalibacterium limincola,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Alkalisalibacterium,Alkalisalibacterium limincola
Agilicoccus flavus,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Dermatophilaceae,Agilicoccus,Agilicoccus flavus
Streptomyces durhamensis,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces durhamensis
Actinotalea subterranea,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Cellulomonadaceae,Actinotalea,Actinotalea subterranea,Actinotalea subterranea
Roseomonas populi,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Roseomonadaceae,Roseomonas,Roseomonas populi
Hafnia psychrotolerans,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Hafnia,Hafnia psychrotolerans
Arenibacterium arenosum,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Sedimentitalea,Arenibacterium arenosum
Pandoraea anhela,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea anhela
Streptomyces roseoverticillatus,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces roseoverticillatus
Oceanobacillus saliphilus,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,Oceanobacillus saliphilus
Halofilum ochraceum,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Halofilum,Halofilum ochraceum
Flavobacterium ustbae,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium ustbae
Pedobacter frigidisoli,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter frigidisoli
Sphingobacterium puteale,Bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium puteale
Rhizobium subbaraonis,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium subbaraonis,Rhizobium subbaraonis
Altericroceibacterium xinjiangense,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altericroceibacterium,Altericroceibacterium xinjiangense
Nitrincola tibetensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Nitrincola,Nitrincola tibetensis
Marinomonas alcarazii,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas alcarazii
Demequina iriomotensis,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Demequinaceae,Demequina,Demequina iriomotensis
Lysinibacillus pinottii,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus pinottii
Amycolatopsis marina,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis marina
Aeoliella straminimaris,Bacteria,Planctomycetota,Planctomycetia,Pirellulales,Lacipirellulaceae,Aeoliella,Aeoliella straminimaris
Pseudomonas turukhanskensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas turukhanskensis
Agaribacterium haliotis,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Agaribacterium,Agaribacterium haliotis
Streptomyces carminius,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces carminius
Rhodothermus profundi,Bacteria,Rhodothermota,Rhodothermia,Rhodothermales,Rhodothermaceae,Rhodothermus,Rhodothermus profundi
Cohnella lupini,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Cohnella,Cohnella lupini
Methermicoccus shengliensis,Bacteria,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methermicoccaceae,Methermicoccus,Methermicoccus shengliensis
Massilia agri,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia agri
Seinonella peptonophila,Bacteria,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Seinonella,Seinonella peptonophila
Rhodobacter calidifons,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacterales_f,Rhodobacter,Rhodobacter calidifons
Lentzea roselyniae,Bacteria,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Lentzea,Lentzea roselyniae
Streptomyces vinaceusdrappus,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces vinaceusdrappus
Mesorhizobium temperatum,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium temperatum
Thermus albus,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Thermus,Thermus albus
Thermogemmata fonticola,Bacteria,Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,Thermogemmata,Thermogemmata fonticola
Raineyella antarctica,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Raineyella,Raineyella antarctica
Pseudidiomarina aquimaris,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Pseudidiomarina,Pseudidiomarina aquimaris
Tahibacter aquaticus,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Rhodanobacteraceae,Tahibacter,Tahibacter aquaticus
Alterinioella nitratireducens,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Alterinioella,Alterinioella nitratireducens
Ornithinimicrobium cavernae,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Ornithinimicrobiaceae,Ornithinimicrobium,Ornithinimicrobium cavernae
Streptomyces silvisoli,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces silvisoli
Secundilactobacillus mixtipabuli,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,Secundilactobacillus mixtipabuli
Glycomyces niveus,Bacteria,Actinomycetota,Actinomycetes,Glycomycetales,Glycomycetaceae,Glycomyces,Glycomyces niveus
Cryobacterium glaciale,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium glaciale
Roseitranquillus sediminis,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Roseitranquillus,Roseitranquillus sediminis
Stutzerimonas tarimensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Stutzerimonas,Stutzerimonas tarimensis
Jiella flava,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Aurantimonadaceae,Jiella,Jiella flava
Streptomyces doudnae,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces doudnae
Rhodonellum ikkaensis,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Cytophagaceae,Rhodonellum,Rhodonellum ikkaensis
Sulfuriferula thiophila,Bacteria,Pseudomonadota,Betaproteobacteria,Nitrosomonadales,Sulfuricellaceae,Sulfuriferula,Sulfuriferula thiophila
Eikenella glucosivorans,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,Eikenella glucosivorans
Pseudarthrobacter humi,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter humi
Emticicia fluvialis,Bacteria,Bacteroidota,Cytophagia,Cytophagales,Leadbetterellaceae,Emticicia,Emticicia fluvialis
Microbispora camponoti,Bacteria,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Microbispora,Microbispora camponoti
